"序号","时间戳","帧类型","帧格式","CAN类型","ID","状态","数据长度","数据内容"
"21","11:12:20.393","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"22","11:12:20.393","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B E6 82 58 29 21 1F"
"23","11:12:20.404","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"24","11:12:20.404","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B EA 82 F8 27 21 1F"
"25","11:12:20.404","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"26","11:12:20.404","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B EF 83 88 21 21 1F"
"27","11:12:20.404","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"28","11:12:20.404","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B F7 83 E8 1D 21 1F"
"29","11:12:20.404","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"30","11:12:20.404","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B FB 84 38 17 21 1F"
"31","11:12:20.404","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"32","11:12:20.404","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B FF 84 38 15 21 1F"
"33","11:12:20.404","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"34","11:12:20.404","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B FF 84 38 15 21 1F"
"35","11:12:20.404","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"36","11:12:20.404","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 03 84 58 12 21 1F"
"37","11:12:20.404","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"38","11:12:20.414","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 07 84 78 10 21 1F"
"39","11:12:20.414","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"40","11:12:20.414","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 0C 84 48 0F 21 1F"
"41","11:12:20.414","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"42","11:12:20.414","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 10 84 38 0F 21 1F"
"43","11:12:20.414","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"44","11:12:20.414","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 14 84 38 10 21 1F"
"45","11:12:20.414","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"46","11:12:20.414","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 17 84 28 11 21 1F"
"47","11:12:20.414","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"48","11:12:20.414","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 1B 84 28 11 21 1F"
"49","11:12:20.414","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"50","11:12:20.414","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 20 84 08 14 21 1F"
"51","11:12:20.425","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"52","11:12:20.425","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 23 83 F8 15 21 1F"
"53","11:12:20.425","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"54","11:12:20.425","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 27 84 08 16 21 1F"
"55","11:12:20.425","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"56","11:12:20.425","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 2C 84 18 16 21 1F"
"57","11:12:20.425","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"58","11:12:20.425","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 2F 84 28 15 21 1F"
"59","11:12:20.425","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"60","11:12:20.425","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 35 84 48 15 21 1F"
"61","11:12:20.425","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"62","11:12:20.425","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 37 84 48 14 21 1F"
"63","11:12:20.425","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"64","11:12:20.425","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 3A 84 58 12 21 1F"
"65","11:12:20.425","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"66","11:12:20.425","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 3B 84 58 12 21 1F"
"67","11:12:20.425","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"68","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 3E 84 58 11 21 1F"
"69","11:12:20.436","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"70","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 40 84 58 11 21 1F"
"71","11:12:20.436","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"72","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 44 84 78 10 21 1F"
"73","11:12:20.436","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"74","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 48 84 58 0F 21 1F"
"75","11:12:20.436","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"76","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 49 84 58 0F 21 1F"
"77","11:12:20.436","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"78","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 4E 84 58 10 21 1F"
"79","11:12:20.436","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"80","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 4F 84 48 10 21 1F"
"81","11:12:20.436","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"82","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 53 84 28 10 21 1F"
"83","11:12:20.436","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"84","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 54 84 38 11 21 1F"
"85","11:12:20.436","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"86","11:12:20.436","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 57 84 18 12 21 1F"
"87","11:12:20.446","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"88","11:12:20.446","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"89","11:12:20.446","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 5B 84 18 13 21 1F"
"90","11:12:20.446","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 5B 84 28 14 21 1F"
"91","11:12:20.446","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"92","11:12:20.446","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 5F 84 08 14 21 1F"
"93","11:12:20.446","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"94","11:12:20.446","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 65 84 18 16 21 1F"
"95","11:12:20.446","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"96","11:12:20.446","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 69 84 18 16 21 1F"
"97","11:12:20.446","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"98","11:12:20.446","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 6D 84 28 16 21 1F"
"99","11:12:20.446","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"100","11:12:20.446","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 71 84 38 15 21 1F"
"101","11:12:20.457","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"102","11:12:20.457","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 77 84 48 13 21 1F"
"103","11:12:20.457","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"104","11:12:20.457","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 7C 84 68 11 21 1F"
"105","11:12:20.457","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"106","11:12:20.457","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 81 84 68 10 21 1F"
"107","11:12:20.457","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"108","11:12:20.457","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 81 84 68 10 21 1F"
"109","11:12:20.457","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"110","11:12:20.457","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 86 84 78 0E 21 1F"
"111","11:12:20.457","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"112","11:12:20.457","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 8C 84 68 0D 21 1F"
"113","11:12:20.468","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"114","11:12:20.468","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 92 84 38 0E 21 1F"
"115","11:12:20.468","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"116","11:12:20.468","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 96 84 18 11 21 1F"
"117","11:12:20.468","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"118","11:12:20.468","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 97 84 18 11 21 1F"
"119","11:12:20.468","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"120","11:12:20.468","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C 9C 84 28 12 21 1F"
"121","11:12:20.468","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"122","11:12:20.468","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C A2 84 28 13 21 1F"
"123","11:12:20.468","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"124","11:12:20.468","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C A7 84 08 14 21 1F"
"125","11:12:20.468","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"126","11:12:20.468","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C AB 84 18 15 21 1F"
"127","11:12:20.468","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"128","11:12:20.468","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C AC 84 18 15 21 1F"
"129","11:12:20.479","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"130","11:12:20.479","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C B1 84 38 14 21 1F"
"131","11:12:20.479","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"132","11:12:20.479","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C B7 84 48 13 21 1F"
"133","11:12:20.479","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"134","11:12:20.479","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C B9 84 48 13 21 1F"
"135","11:12:20.479","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"136","11:12:20.479","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C BD 84 58 12 21 1F"
"137","11:12:20.479","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"138","11:12:20.479","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C C2 84 58 11 21 1F"
"139","11:12:20.489","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"140","11:12:20.489","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C D2 84 48 11 21 1F"
"141","11:12:20.500","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"142","11:12:20.500","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C E7 84 48 12 21 1F"
"143","11:12:20.500","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"144","11:12:20.500","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C F1 84 38 12 21 1F"
"145","11:12:20.510","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"146","11:12:20.510","标准帧","数据帧","CAN","0x0","接收成功","8","11 9C F4 84 38 11 21 1F"
"147","11:12:20.521","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"148","11:12:20.521","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 19 84 48 11 21 1F"
"149","11:12:20.521","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"150","11:12:20.521","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 23 84 28 13 21 1F"
"151","11:12:20.521","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"152","11:12:20.521","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 2A 84 48 12 21 1F"
"153","11:12:20.521","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"154","11:12:20.521","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 2F 84 38 12 21 1F"
"155","11:12:20.521","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"156","11:12:20.521","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 33 84 28 13 21 1F"
"157","11:12:20.521","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"158","11:12:20.521","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 36 84 18 13 21 1F"
"159","11:12:20.521","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"160","11:12:20.521","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 37 84 28 14 21 1F"
"161","11:12:20.531","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"162","11:12:20.531","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 3D 84 28 13 21 1F"
"163","11:12:20.531","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"164","11:12:20.531","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 42 84 48 14 21 1F"
"165","11:12:20.531","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"166","11:12:20.531","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 43 84 48 14 21 1F"
"167","11:12:20.531","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"168","11:12:20.531","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 47 84 38 14 21 1F"
"169","11:12:20.531","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"170","11:12:20.531","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 4C 84 38 13 21 1F"
"171","11:12:20.531","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"172","11:12:20.531","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 53 84 58 12 21 1F"
"173","11:12:20.531","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"174","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 57 84 48 11 21 1F"
"175","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"176","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 58 84 48 11 21 1F"
"177","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"178","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 5D 84 58 11 21 1F"
"179","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"180","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 62 84 58 0F 21 1F"
"181","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"182","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 67 84 48 0F 21 1F"
"183","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"184","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 69 84 48 0F 21 1F"
"185","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"186","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 6E 84 48 10 21 1F"
"187","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"188","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 6F 84 48 10 21 1F"
"189","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"190","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 74 84 28 11 21 1F"
"191","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"192","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 78 84 28 11 21 1F"
"193","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"194","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 79 84 18 12 21 1F"
"195","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"196","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 7E 84 08 14 21 1F"
"197","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"198","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 80 84 08 14 21 1F"
"199","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"200","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 85 84 18 14 21 1F"
"201","11:12:20.542","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"202","11:12:20.542","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 89 84 28 13 21 1F"
"203","11:12:20.553","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"204","11:12:20.553","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 8D 84 38 13 21 1F"
"205","11:12:20.553","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"206","11:12:20.553","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 92 84 48 12 21 1F"
"207","11:12:20.553","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"208","11:12:20.553","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 94 84 58 12 21 1F"
"209","11:12:20.553","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"210","11:12:20.553","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 9A 84 58 10 21 1F"
"211","11:12:20.553","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"212","11:12:20.553","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D 9F 84 58 0F 21 1F"
"213","11:12:20.553","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"214","11:12:20.553","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D A3 84 48 10 21 1F"
"215","11:12:20.553","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"216","11:12:20.553","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D A4 84 48 10 21 1F"
"217","11:12:20.564","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"218","11:12:20.564","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D A8 84 48 11 21 1F"
"219","11:12:20.564","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"220","11:12:20.564","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D AA 84 48 11 21 1F"
"221","11:12:20.564","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"222","11:12:20.564","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D AF 84 38 11 21 1F"
"223","11:12:20.564","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"224","11:12:20.564","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D B0 84 28 12 21 1F"
"225","11:12:20.564","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"226","11:12:20.564","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D B6 84 28 12 21 1F"
"227","11:12:20.564","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"228","11:12:20.564","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D BB 84 08 14 21 1F"
"229","11:12:20.564","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"230","11:12:20.564","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D BC 84 08 14 21 1F"
"231","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"232","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D C2 84 18 15 21 1F"
"233","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"234","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D C8 84 38 15 21 1F"
"235","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"236","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D CE 84 48 13 21 1F"
"237","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"238","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D DA 84 58 11 21 1F"
"239","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"240","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9D DF 84 68 10 21 1F"
"241","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"242","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 05 84 18 14 21 1F"
"243","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"244","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 0A 84 28 14 21 1F"
"245","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"246","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 0B 84 38 14 21 1F"
"247","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"248","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 10 84 38 13 21 1F"
"249","11:12:20.595","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"250","11:12:20.595","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 11 84 48 13 21 1F"
"251","11:12:20.606","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"252","11:12:20.606","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 16 84 48 11 21 1F"
"253","11:12:20.606","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"254","11:12:20.606","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 1B 84 58 11 21 1F"
"255","11:12:20.606","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"256","11:12:20.606","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 20 84 78 0F 21 1F"
"257","11:12:20.606","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"258","11:12:20.606","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 22 84 58 0E 21 1F"
"259","11:12:20.606","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"260","11:12:20.606","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 27 84 68 0F 21 1F"
"261","11:12:20.606","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"262","11:12:20.606","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 28 84 68 0F 21 1F"
"263","11:12:20.606","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"264","11:12:20.606","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 2F 84 28 10 21 1F"
"265","11:12:20.627","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"266","11:12:20.627","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 33 84 28 11 21 1F"
"267","11:12:20.627","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"268","11:12:20.627","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 34 84 28 11 21 1F"
"269","11:12:20.627","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"270","11:12:20.627","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 38 84 18 12 21 1F"
"271","11:12:20.627","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"272","11:12:20.627","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 39 84 18 12 21 1F"
"273","11:12:20.627","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"274","11:12:20.627","标准帧","数据帧","CAN","0x0","接收成功","8","11 9E 3E 84 28 13 21 1F"
